Time,Displacement,Force,Strain 1
"77.00","5.13","40.65","0.01390"
"77.50","5.17","40.72","0.01452"
"78.00","5.20","40.79","0.01518"
"78.50","5.23","40.86","0.01587"
"79.00","5.27","40.91","0.01657"
"79.50","5.30","40.95","0.01732"
"80.00","5.33","40.99","0.01810"
"80.50","5.37","41.02","0.01891"
"81.00","5.40","41.04","0.01975"
"81.50","5.43","41.05","0.02064"
"82.00","5.47","41.06","0.02156"
"82.50","5.50","41.05","0.02254"
"83.00","5.53","41.04","0.02353"
"83.50","5.57","41.02","0.02460"
"84.00","5.60","40.98","0.02569"
"84.50","5.63","40.94","0.02685"
"85.00","5.67","40.88","0.02806"
"85.50","5.70","40.80","0.02930"
"86.00","5.73","40.71","0.03062"
"86.50","5.77","40.61","0.03194"
"87.00","5.80","40.50","0.03330"
"87.50","5.83","40.37","0.03469"
"88.00","5.87","40.24","0.03609"
"88.50","5.90","40.10","0.03750"
"89.00","5.93","39.96","0.03892"
"89.50","5.97","39.82","0.04033"
"90.00","6.00","39.67","0.04177"
"90.50","6.03","39.52","0.04321"
"91.00","6.07","39.38","0.04465"
"91.50","6.10","39.23","0.04608"
"92.00","6.13","39.09","0.04750"
"92.50","6.17","38.94","0.04897"
"93.00","6.20","38.79","0.05039"
"93.50","6.23","38.64","0.05184"
"94.00","6.27","38.50","0.05328"
"94.50","6.30","38.35","0.05472"
"95.00","6.33","38.21","0.05614"
"95.50","6.37","38.06","0.05760"
"96.00","6.40","37.92","0.05903"
"96.50","6.43","37.77","0.06047"
"97.00","6.47","37.62","0.06192"
"97.50","6.50","37.48","0.06338"
"98.00","6.53","37.33","0.06482"
"98.50","6.57","37.18","0.06627"
"99.00","6.60","37.03","0.06772"
"99.50","6.63","36.88","0.06916"
"100.00","6.67","36.73","0.07061"
"100.50","6.70","36.58","0.07206"
"101.00","6.73","36.43","0.07352"
"101.50","6.77","36.28","0.07496"
"102.00","6.80","36.12","0.07642"
"102.50","6.83","35.97","0.07788"
"103.00","6.87","35.81","0.07933"
"103.50","6.90","35.65","0.08078"
"104.00","6.93","35.49","0.08226"
"104.50","6.97","35.33","0.08371"
"105.00","7.00","35.17","0.08518"
"105.50","7.03","35.00","0.08664"
"106.00","7.07","34.83","0.08812"
"106.50","7.10","34.66","0.08958"
"107.00","7.13","34.49","0.09105"
"107.50","7.17","34.32","0.09252"
"108.00","7.20","34.14","0.09400"
"108.50","7.23","33.96","0.09548"
"109.00","7.27","33.78","0.09695"
"109.50","7.30","33.60","0.09845"
"110.00","7.33","33.41","0.09993"
"110.50","7.37","33.21","0.1014"
"111.00","7.40","33.02","0.1029"
"111.50","7.43","32.81","0.1044"
"112.00","7.47","32.60","0.1059"
"112.50","7.50","32.35","0.1075"
"112.73","7.52","18.31","0.1024"

