Time,Displacement,Force,Strain 1
"33.50","2.23","10.05","0.003262"
"34.00","2.27","10.23","0.003323"
"34.50","2.30","10.42","0.003377"
"35.00","2.33","10.60","0.003433"
"35.50","2.37","10.79","0.003501"
"36.00","2.40","10.97","0.003558"
"36.50","2.43","11.16","0.003621"
"37.00","2.47","11.35","0.003685"
"37.50","2.50","11.54","0.003751"
"38.00","2.53","11.72","0.003811"
"38.50","2.57","11.92","0.003884"
"39.00","2.60","12.11","0.003942"
"39.50","2.63","12.31","0.003999"
"40.00","2.67","12.50","0.004067"
"40.50","2.70","12.70","0.004130"
"41.00","2.73","12.89","0.004191"
"41.50","2.77","13.09","0.004258"
"42.00","2.80","13.28","0.004329"
"42.50","2.83","13.48","0.004392"
"43.00","2.87","13.68","0.004453"
"43.50","2.90","13.88","0.004518"
"44.00","2.93","14.07","0.004584"
"44.50","2.97","14.27","0.004654"
"45.00","3.00","14.46","0.004718"
"45.50","3.03","14.66","0.004778"
"46.00","3.07","14.86","0.004846"
"46.50","3.10","15.06","0.004921"
"47.00","3.13","15.26","0.004980"
"47.50","3.17","15.46","0.005047"
"48.00","3.20","15.65","0.005119"
"48.50","3.23","15.85","0.005182"
"49.00","3.27","16.05","0.005256"
"49.50","3.30","16.25","0.005314"
"50.00","3.33","16.44","0.005374"
"50.50","3.37","16.64","0.005443"
"51.00","3.40","16.84","0.005522"
"51.50","3.43","17.03","0.005576"
"52.00","3.47","17.23","0.005653"
"52.50","3.50","17.42","0.005722"
"53.00","3.53","17.62","0.005788"
"53.50","3.57","17.82","0.005858"
"54.00","3.60","18.01","0.005920"
"54.50","3.63","18.21","0.005989"
"55.00","3.67","18.40","0.006054"
"55.50","3.70","18.60","0.006131"
"56.00","3.73","18.79","0.006195"
"56.50","3.77","18.98","0.006267"
"57.00","3.80","19.17","0.006335"
"57.50","3.83","19.36","0.006403"
"58.00","3.87","19.55","0.006478"
"58.50","3.90","19.73","0.006548"
"59.00","3.93","19.91","0.006627"
"59.50","3.97","20.09","0.006703"
"60.00","4.00","20.27","0.006804"
"60.50","4.03","20.44","0.006906"
"61.00","4.07","20.61","0.007016"
"61.50","4.10","20.76","0.007153"
"62.00","4.13","20.91","0.007305"
"62.50","4.17","21.05","0.007500"
"63.00","4.20","21.18","0.007740"
"63.50","4.23","21.29","0.008033"
"64.00","4.27","21.40","0.008366"
"64.50","4.30","21.50","0.008748"
"65.00","4.33","21.59","0.009156"
"65.50","4.37","21.67","0.009592"
"66.00","4.40","21.75","0.01007"
"66.50","4.43","21.81","0.01059"
"67.00","4.47","21.87","0.01112"
"67.50","4.50","21.93","0.01169"
"68.00","4.53","21.98","0.01227"
"68.50","4.57","22.02","0.01288"
"69.00","4.60","22.07","0.01352"
"69.50","4.63","22.10","0.01416"
"70.00","4.67","22.14","0.01483"
"70.50","4.70","22.18","0.01550"
"71.00","4.73","22.21","0.01619"
"71.50","4.77","22.24","0.01689"
"72.00","4.80","22.27","0.01759"
"72.50","4.83","22.30","0.01829"
"73.00","4.87","22.32","0.01900"
"73.50","4.90","22.35","0.01971"
"74.00","4.93","22.38","0.02042"
"74.50","4.97","22.40","0.02113"
"75.00","5.00","22.42","0.02184"
"75.50","5.03","22.45","0.02256"
"76.00","5.07","22.47","0.02327"
"76.50","5.10","22.50","0.02398"
"77.00","5.13","22.52","0.02470"
"77.50","5.17","22.54","0.02539"
"78.00","5.20","22.57","0.02609"
"78.50","5.23","22.59","0.02681"
"79.00","5.27","22.61","0.02751"
"79.50","5.30","22.63","0.02821"
"80.00","5.33","22.65","0.02891"
"80.50","5.37","22.68","0.02960"
"81.00","5.40","22.70","0.03031"
"81.50","5.43","22.72","0.03101"
"82.00","5.47","22.74","0.03171"
"82.50","5.50","22.76","0.03241"
"83.00","5.53","22.78","0.03311"
"83.50","5.57","22.80","0.03381"
"84.00","5.60","22.82","0.03451"
"84.50","5.63","22.84","0.03520"
"85.00","5.67","22.85","0.03591"
"85.50","5.70","22.87","0.03661"
"86.00","5.73","22.89","0.03732"
"86.50","5.77","22.91","0.03802"
"87.00","5.80","22.92","0.03874"
"87.50","5.83","22.94","0.03944"
"88.00","5.87","22.96","0.04017"
"88.50","5.90","22.97","0.04087"
"89.00","5.93","22.99","0.04158"
"89.50","5.97","23.01","0.04230"
"90.00","6.00","23.02","0.04301"
"90.50","6.03","23.04","0.04374"
"91.00","6.07","23.05","0.04446"
"91.50","6.10","23.07","0.04519"
"92.00","6.13","23.09","0.04592"
"92.50","6.17","23.10","0.04664"
"93.00","6.20","23.11","0.04738"
"93.50","6.23","23.13","0.04813"
"94.00","6.27","23.14","0.04886"
"94.50","6.30","23.16","0.04961"
"95.00","6.33","23.17","0.05035"
"95.50","6.37","23.18","0.05109"
"96.00","6.40","23.20","0.05183"
"96.50","6.43","23.21","0.05258"
"97.00","6.47","23.22","0.05333"
"97.50","6.50","23.23","0.05408"
"98.00","6.53","23.24","0.05483"
"98.50","6.57","23.26","0.05559"
"99.00","6.60","23.27","0.05635"
"99.50","6.63","23.28","0.05711"
"100.00","6.67","23.29","0.05788"
"100.50","6.70","23.30","0.05864"
"101.00","6.73","23.31","0.05941"
"101.50","6.77","23.32","0.06019"
"102.00","6.80","23.33","0.06096"
"102.50","6.83","23.34","0.06174"
"103.00","6.87","23.35","0.06252"
"103.50","6.90","23.36","0.06331"
"104.00","6.93","23.37","0.06409"
"104.50","6.97","23.38","0.06488"
"105.00","7.00","23.39","0.06567"
"105.50","7.03","23.39","0.06647"
"106.00","7.07","23.40","0.06727"
"106.50","7.10","23.41","0.06807"
"107.00","7.13","23.42","0.06887"
"107.50","7.17","23.43","0.06968"
"108.00","7.20","23.43","0.07050"
"108.50","7.23","23.44","0.07132"
"109.00","7.27","23.45","0.07214"
"109.50","7.30","23.46","0.07298"
"110.00","7.33","23.46","0.07381"
"110.50","7.37","23.47","0.07464"
"111.00","7.40","23.47","0.07548"
"111.50","7.43","23.48","0.07633"
"112.00","7.47","23.48","0.07719"
"112.50","7.50","23.49","0.07805"
"113.00","7.53","23.49","0.07890"
"113.50","7.57","23.50","0.07976"
"114.00","7.60","23.51","0.08065"
"114.50","7.63","23.51","0.08154"
"115.00","7.67","23.52","0.08241"
"115.50","7.70","23.52","0.08330"
"116.00","7.73","23.52","0.08419"
"116.50","7.77","23.53","0.08510"
"117.00","7.80","23.53","0.08601"
"117.50","7.83","23.53","0.08694"
"118.00","7.87","23.54","0.08787"
"118.50","7.90","23.54","0.08879"
"119.00","7.93","23.54","0.08974"
"119.50","7.97","23.54","0.09068"
"120.00","8.00","23.55","0.09165"
"120.50","8.03","23.55","0.09261"
"121.00","8.07","23.55","0.09359"
"121.50","8.10","23.55","0.09456"
"122.00","8.13","23.55","0.09556"
"122.50","8.17","23.55","0.09654"
"123.00","8.20","23.55","0.09756"
"123.50","8.23","23.55","0.09857"
"124.00","8.27","23.55","0.09961"
"124.50","8.30","23.55","0.1006"
"125.00","8.33","23.54","0.1017"
"125.50","8.37","23.55","0.1028"
"126.00","8.40","23.54","0.1038"
"126.50","8.43","23.53","0.1049"
"127.00","8.47","23.53","0.1060"
"127.50","8.50","23.53","0.1071"
"128.00","8.53","23.52","0.1082"
"128.50","8.57","23.51","0.1094"
"129.00","8.60","23.51","0.1105"
"129.50","8.63","23.50","0.1117"
"130.00","8.67","23.49","0.1128"
"130.50","8.70","23.48","0.1140"
"131.00","8.73","23.47","0.1152"
"131.50","8.77","23.45","0.1164"
"132.00","8.80","23.44","0.1176"
"132.50","8.83","23.43","0.1188"
"133.00","8.87","23.41","0.1201"
"133.50","8.90","23.39","0.1213"
"134.00","8.93","23.37","0.1225"
"134.50","8.97","23.35","0.1238"
"135.00","9.00","23.33","0.1251"
"135.50","9.03","23.31","0.1263"
"136.00","9.07","23.28","0.1276"
"136.50","9.10","23.25","0.1289"
"137.00","9.13","23.22","0.1302"
"137.50","9.17","23.19","0.1315"
"138.00","9.20","23.16","0.1328"
"138.50","9.23","23.12","0.1341"
"139.00","9.27","23.08","0.1355"
"139.50","9.30","23.04","0.1368"
"140.00","9.33","23.00","0.1381"
"140.50","9.37","22.95","0.1395"
"141.00","9.40","22.90","0.1408"
"141.50","9.43","22.85","0.1422"
"142.00","9.47","22.80","0.1436"
"142.50","9.50","22.74","0.1449"
"143.00","9.53","22.68","0.1463"
"143.50","9.57","22.62","0.1477"
"144.00","9.60","22.56","0.1491"
"144.50","9.63","22.48","0.1505"
"145.00","9.67","22.41","0.1519"
"145.50","9.70","22.34","0.1533"
"146.00","9.73","22.26","0.1547"
"146.50","9.77","22.18","0.1561"
"147.00","9.80","22.09","0.1575"
"147.50","9.83","22.00","0.1589"
"148.00","9.87","21.91","0.1604"
"148.50","9.90","21.82","0.1618"
"149.00","9.93","21.72","0.1633"
"149.50","9.97","21.61","0.1647"
"150.00","10.00","21.50","0.1662"
"150.41","10.03","11.96","0.1684"

