Time,Displacement,Force,Strain 1
"0.00","0.00","0.2067","-0.000002517"
"0.50","0.03","0.7610","0.0001844"
"1.00","0.07","1.206","0.0003156"
"1.50","0.10","1.499","0.0004146"
"2.00","0.13","1.735","0.0004902"
"2.50","0.17","1.932","0.0005624"
"3.00","0.20","2.111","0.0006228"
"3.50","0.23","2.269","0.0006708"
"4.00","0.27","2.411","0.0007213"
"4.50","0.30","2.542","0.0007626"
"5.00","0.33","2.660","0.0007991"
"5.50","0.37","2.772","0.0008474"
"6.00","0.40","2.879","0.0008845"
"6.50","0.43","2.985","0.0009347"
"7.00","0.47","3.096","0.0009752"
"7.50","0.50","3.199","0.001012"
"8.00","0.53","3.297","0.001038"
"8.50","0.57","3.395","0.001074"
"9.00","0.60","3.490","0.001100"
"9.50","0.63","3.582","0.001138"
"10.00","0.67","3.671","0.001161"
"10.50","0.70","3.756","0.001189"
"11.00","0.73","3.839","0.001221"
"11.50","0.77","3.922","0.001250"
"12.00","0.80","4.003","0.001282"
"12.50","0.83","4.083","0.001305"
"13.00","0.87","4.165","0.001335"
"13.50","0.90","4.251","0.001359"
"14.00","0.93","4.344","0.001392"
"14.50","0.97","4.440","0.001422"
"15.00","1.00","4.539","0.001466"
"15.50","1.03","4.642","0.001491"
"16.00","1.07","4.752","0.001539"
"16.50","1.10","4.864","0.001575"
"17.00","1.13","4.979","0.001610"
"17.50","1.17","5.096","0.001648"
"18.00","1.20","5.218","0.001693"
"18.50","1.23","5.343","0.001738"
"19.00","1.27","5.472","0.001773"
"19.50","1.30","5.600","0.001814"
"20.00","1.33","5.733","0.001858"
"20.50","1.37","5.866","0.001903"
"21.00","1.40","6.001","0.001944"
"21.50","1.43","6.140","0.001982"
"22.00","1.47","6.279","0.002031"
"22.50","1.50","6.423","0.002083"
"23.00","1.53","6.566","0.002119"
"23.50","1.57","6.714","0.002176"
"24.00","1.60","6.862","0.002218"
"24.50","1.63","7.013","0.002266"
"25.00","1.67","7.166","0.002316"
"25.50","1.70","7.322","0.002360"
"26.00","1.73","7.482","0.002413"
"26.50","1.77","7.641","0.002466"
"27.00","1.80","7.801","0.002522"
"27.50","1.83","7.964","0.002577"
"28.00","1.87","8.129","0.002622"
"28.50","1.90","8.297","0.002691"
"29.00","1.93","8.467","0.002732"
"29.50","1.97","8.638","0.002792"
"30.00","2.00","8.810","0.002848"
"30.50","2.03","8.987","0.002913"
"31.00","2.07","9.161","0.002975"
"31.50","2.10","9.338","0.003027"
"32.00","2.13","9.516","0.003083"
"32.50","2.17","9.694","0.003143"
"33.00","2.20","9.873","0.003208"
